author,star,review_title,review_date,Text,ProductLink
Anoop Mishra,5.0 out of 5 stars,Superb Product,Reviewed in India on 31 March 2024,"Excellent product everyone who is fondof tshirt must try once, nice fabrics and colour, comfortable fit.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQyMzUxNTE5NTI5MTQ5OjE3MTY5NTI4MDA6c3BfYXRmOjIwMTA5ODI4NDYwNjk4OjowOjo&url=%2FAmazon-Brand-Symbol-Striper-AW17MPCSP2_S_Mid%2Fdp%2FB073X2QWYQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs%26dib_tag%3Dse%26keywords%3Dt%2Bshirt%2Bfor%2Bmen%26qid%3D1716952800%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Sorry you have sent wrong product. So I have return the item.,4.0 out of 5 stars,Good product.,Reviewed in India on 9 May 2024,Colour combination is good but product quality less than cost.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQyMzUxNTE5NTI5MTQ5OjE3MTY5NTI4MDA6c3BfYXRmOjIwMTA5ODI4NDYwNjk4OjowOjo&url=%2FAmazon-Brand-Symbol-Striper-AW17MPCSP2_S_Mid%2Fdp%2FB073X2QWYQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs%26dib_tag%3Dse%26keywords%3Dt%2Bshirt%2Bfor%2Bmen%26qid%3D1716952800%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
shereef p,3.0 out of 5 stars,Medium quality only,Reviewed in India on 23 February 2024,I started my usage just 2day back and only one wadh is over. In my view the produt is a medoum qyality only.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQyMzUxNTE5NTI5MTQ5OjE3MTY5NTI4MDA6c3BfYXRmOjIwMTA5ODI4NDYwNjk4OjowOjo&url=%2FAmazon-Brand-Symbol-Striper-AW17MPCSP2_S_Mid%2Fdp%2FB073X2QWYQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs%26dib_tag%3Dse%26keywords%3Dt%2Bshirt%2Bfor%2Bmen%26qid%3D1716952800%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Very nice and comfortable,5.0 out of 5 stars,Very nice,Reviewed in India on 26 December 2023,Cloth fabric is comfortable to the person whom I gifted.u can go for it and worth of money.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQyMzUxNTE5NTI5MTQ5OjE3MTY5NTI4MDA6c3BfYXRmOjIwMTA5ODI4NDYwNjk4OjowOjo&url=%2FAmazon-Brand-Symbol-Striper-AW17MPCSP2_S_Mid%2Fdp%2FB073X2QWYQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs%26dib_tag%3Dse%26keywords%3Dt%2Bshirt%2Bfor%2Bmen%26qid%3D1716952800%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
KOTEE_CHATLA,4.0 out of 5 stars,Well fitted,Reviewed in India on 2 May 2024,Good quality 😄👍,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQyMzUxNTE5NTI5MTQ5OjE3MTY5NTI4MDA6c3BfYXRmOjIwMTA5ODI4NDYwNjk4OjowOjo&url=%2FAmazon-Brand-Symbol-Striper-AW17MPCSP2_S_Mid%2Fdp%2FB073X2QWYQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs%26dib_tag%3Dse%26keywords%3Dt%2Bshirt%2Bfor%2Bmen%26qid%3D1716952800%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Ajay das,5.0 out of 5 stars,Excellent,Reviewed in India on 24 May 2024,Excellent product,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQyMzUxNTE5NTI5MTQ5OjE3MTY5NTI4MDA6c3BfYXRmOjIwMTA5ODI4NDYwNjk4OjowOjo&url=%2FAmazon-Brand-Symbol-Striper-AW17MPCSP2_S_Mid%2Fdp%2FB073X2QWYQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs%26dib_tag%3Dse%26keywords%3Dt%2Bshirt%2Bfor%2Bmen%26qid%3D1716952800%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Amazon Customer,1.0 out of 5 stars,Old pending Stock,Reviewed in India on 8 April 2024,It is not from new batch of clothing. It was manufactured in 2022.Quality is not so good. Few stains is also found . There is a hole in the Tshirt.I felt like cheated.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQyMzUxNTE5NTI5MTQ5OjE3MTY5NTI4MDA6c3BfYXRmOjIwMTA5ODI4NDYwNjk4OjowOjo&url=%2FAmazon-Brand-Symbol-Striper-AW17MPCSP2_S_Mid%2Fdp%2FB073X2QWYQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs%26dib_tag%3Dse%26keywords%3Dt%2Bshirt%2Bfor%2Bmen%26qid%3D1716952800%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
AmazonCustomer,2.0 out of 5 stars,Not full cotton. it does not obsorb water,Reviewed in India on 22 February 2024,"The product was delivered in good condition.
This is not full cotton. It does not obsorb water easily.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQyMzUxNTE5NTI5MTQ5OjE3MTY5NTI4MDA6c3BfYXRmOjIwMTA5ODI4NDYwNjk4OjowOjo&url=%2FAmazon-Brand-Symbol-Striper-AW17MPCSP2_S_Mid%2Fdp%2FB073X2QWYQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs%26dib_tag%3Dse%26keywords%3Dt%2Bshirt%2Bfor%2Bmen%26qid%3D1716952800%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
YNKR,4.0 out of 5 stars,Quality and comfort is good,Reviewed in India on 27 May 2024,Very good but cost is increasing.,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQyMzUxNTE5NTI5MTQ5OjE3MTY5NTI4MDA6c3BfYXRmOjIwMTA5ODI4NDYwNjk4OjowOjo&url=%2FAmazon-Brand-Symbol-Striper-AW17MPCSP2_S_Mid%2Fdp%2FB073X2QWYQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs%26dib_tag%3Dse%26keywords%3Dt%2Bshirt%2Bfor%2Bmen%26qid%3D1716952800%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
Udaya Bhaskar.B,4.0 out of 5 stars,Good,Reviewed in India on 27 May 2024,Nice,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQyMzUxNTE5NTI5MTQ5OjE3MTY5NTI4MDA6c3BfYXRmOjIwMTA5ODI4NDYwNjk4OjowOjo&url=%2FAmazon-Brand-Symbol-Striper-AW17MPCSP2_S_Mid%2Fdp%2FB073X2QWYQ%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.J_xNyLIe9OGf0yV6aDqtexKES38XzHRhFBWaGzN1Y1CiDAeFN3BxkMGQ9M9ClPEMApv8rslQgI8A8ytvEAk8ffefoEYtVDLk-CQgbkO4Hd71WCwXWGYf1Yukcl7TKQm_etPXv3scpIcO8hJgB_EHzEnbYCqLrGnQJMBBSb6gkL-exKdg6TZBF0e4iB9_Zz-eD7FStQdlVcyed8BwR58ngGzsIc97z4Nl6kBHSO0xA45NWVB4TqOtIWUmWzNunrc9Q__TqxIrI0X92r7KFCI9sjM3tX9dOIJ-1hvYhxU_xqo.jkPBGoIXWyzXFXQoy6tCsB-xyVrmLoQopNxy93cqCgs%26dib_tag%3Dse%26keywords%3Dt%2Bshirt%2Bfor%2Bmen%26qid%3D1716952800%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
